"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux"
"80","Kummeli  15",10045,8022,2019,3,21,80,"THU",2497.68,6446,30.4,988,69.4568181818182,43.5972727272727,59.3454545454545,42.8018181818182,35.4013636363636,4.01499580814394,4.78078698228409,267.879224206061,2150.78271987833
"156","Kummeli  15",10045,1086,2019,6,5,156,"WED",3909.94,8269,4.5,1114,61.8725,54.8929166666667,57.6616666666667,25.0508333333333,37.2516666666667,23.825105765382,2.13224803115972,192.124726534167,7929.71078457583
"158","Kummeli  15",10045,1134,2019,6,7,158,"FRI",3952.13,8317,5,1271,60.9658333333333,56.4408333333333,58.2875,25.4595833333333,37.5879166666667,24.5859561671875,2.54434383952083,142.289833212708,7757.62580121292
"314","Kummeli  15",10045,4970,2019,11,10,314,"SUN",7135.9,12062,25.7,927,67.3933333333333,43.55125,59.24625,40.1641666666667,33.9070833333333,8.63495156860764,3.28825504465625,205.395154827083,480.272813171083
"172","Kummeli  15",10045,1470,2019,6,21,172,"FRI",4363.53,8653,4.7,1132,60.3808333333333,55.8233333333333,57.7258333333333,26.3029166666667,37.8283333333333,22.9561289629167,3.16911135899305,239.025820928486,6779.2559702425
"111","Kummeli  15",10045,6,2019,4,21,111,"SUN",3153.49,7189,21,830,67.8875,47.4770833333333,59.32375,37.00625,32.9570833333333,8.67720414237153,3.35342971630556,103.290402250625,6078.37507807441
"178","Kummeli  15",10045,1614,2019,6,27,178,"THU",4482.38,8797,4.8,676,62.6421739130435,56.2404347826087,58.83,26.3621739130435,38.1791304347826,13.9143017574638,3.37009842957246,217.957513244598,1497.259217646
"17","Kummeli  15",10045,6510,2019,1,17,17,"THU",863.47,4934,26,785,71.8108333333333,44.0225,60.09,46.43125,37.2408333333333,-0.10011892060764,6.37374888261458,241.014653737153,321.088504524917
"44","Kummeli  15",10045,7158,2019,2,13,44,"WED",1601.05,5582,20.4,680,71.6416666666667,44.2454166666667,59.7741666666667,46.8283333333333,37.78875,-2.16732146820486,3.15293126232986,237.87745651875,879.195343606833
"298","Kummeli  15",10045,4561,2019,10,25,298,"FRI",6753.63,11677,19.8,1065,64.7883333333333,46.6683333333333,58.9891666666667,39.5470833333333,34.625,9.69421696223263,3.88355539832986,204.071396111806,1386.978379357
"214","Kummeli  15",10045,2456,2019,8,2,214,"FRI",5204.09,9661,4.7,808,62.34625,56.8275,59.1308333333333,25.6345833333333,38.6608333333333,14.3496013682986,2.32945337813889,161.267246487049,3711.62177100508
"34","Kummeli  15",10045,6918,2019,2,3,34,"SUN",1333.55,5342,7.7,521,70.8533333333333,45.9195833333333,60.4708333333333,46.165,37.4779166666667,1.22337877141319,3.62086267886806,173.014906124028,245.740682462
"201","Kummeli  15",10045,2176,2019,7,20,201,"SAT",4927.54,9349,4.7,746,62.5434782608696,56.6434782608696,59.0417391304348,25.3508695652174,37.9069565217391,18.9749705322101,3.03379732044565,225.186749998504,6229.50963240792
"2","Kummeli  15",10045,3669,2019,1,2,2,"WED",416.72,4574,12.3,590,71.0804166666667,44.9825,59.73,46.5175,37.59875,-0.636422895614583,4.58658017545139,97.1505248363299,249.572169567167
"82","Kummeli  15",10045,8070,2019,3,23,82,"SAT",2544.57,6494,27.9,860,70.3383333333333,43.3141666666667,59.3170833333333,43.4125,35.7941666666667,3.63710205631597,4.62092549859375,245.541208946528,2127.83461163742
"15","Kummeli  15",10045,6462,2019,1,15,15,"TUE",804.52,4886,23,800,71.8816666666667,44.8325,58.8304166666667,50.3316666666667,39.7858333333333,-5.43175830701736,3.06740298690625,270.858682709028,374.645481422083
"323","Kummeli  15",10045,5210,2019,11,19,323,"TUE",7338.58,12278,21.6,967,66.0791666666667,44.8804166666667,59.4908333333333,41.2575,34.8454166666667,5.25685473045486,2.61720508859028,165.293531667014,202.656165099833
