"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux","Regresion_UV","Regresion_MV"
"123","Kummeli  15",10045,294,2019,5,3,123,"FRI",3348.4,7477,20.8,866,68.92375,46.0266666666667,59.4816666666667,44.7666666666667,38.5325,2.73823982681945,6.06375262194792,279.748905188889,3062.16167603017,23.8938875451382,24.240053914357
"126","Kummeli  15",10045,366,2019,5,6,126,"MON",3406.34,7549,25.3,885,67.9191666666667,46.2483333333333,59.2283333333333,40.05,34.5941666666667,6.7167657807118,2.12490586904514,149.168556356976,7091.13463348275,19.62952500753,20.8383860393833
"132","Kummeli  15",10045,510,2019,5,12,132,"SUN",3513.86,7693,16.7,680,67.1066666666667,47.51125,58.8975,33.9645833333333,30.8554166666667,11.4895818996319,2.63606885874306,227.409773298441,4012.37565222434,14.5138066504577,14.3437486702094
"133","Kummeli  15",10045,534,2019,5,13,133,"MON",3530.59,7717,16.8,721,66.5470833333333,47.3279166666667,59.6695833333333,35.8241666666667,32.0129166666667,9.36023819011459,3.38927254280208,106.971536798285,3489.30002925508,16.7961327304658,17.2699115938975
"134","Kummeli  15",10045,558,2019,5,14,134,"TUE",3548.92,7741,17.1,725,67.6575,47.7179166666667,60.2475,36.0120833333333,32.205,8.22572413893056,3.97966044409375,67.1081616971215,3356.56039193608,18.0121557687285,18.7856849149073
"138","Kummeli  15",10045,654,2019,5,18,138,"SAT",3618.39,7837,12.2,681,65.05625,51.0529166666667,59.0595833333333,31.25375,29.3295833333333,17.5851484421181,3.07597798785764,96.3980076930208,7750.22351496116,7.98030506959067,9.13866704761371
"142","Kummeli  15",10045,750,2019,5,22,142,"WED",3684.38,7933,23.4,1330,63.2525,53.5454166666667,58.3954166666667,28.47125,27.7108333333333,19.8895952217708,1.80106272870486,140.169084197712,6052.03430935117,5.51029566637219,5.68855039193048
"146","Kummeli  15",10045,846,2019,5,26,146,"SUN",3747.62,8029,11.7,656,65.7195833333333,50.1229166666667,59.5458333333333,34.94625,32.3895833333333,10.6715127930903,4.77405764812153,250.6206290125,3627.9168275595,15.3906498058223,15.3800653998673
"148","Kummeli  15",10045,894,2019,5,28,148,"TUE",3782.24,8077,12.5,643,65.8675,49.80125,59.3658333333333,33.4516666666667,30.9208333333333,12.9084414373958,2.9668822739757,181.871622961354,3049.41084606458,12.9930093679745,12.7418331127554
"149","Kummeli  15",10045,918,2019,5,29,149,"WED",3798.52,8101,10.1,594,65.2020833333333,51.40375,59.2583333333333,30.12625,28.4541666666667,14.3515903827292,3.78302285576389,245.186172287153,3789.21294421825,11.4461776091801,11.1465821803912
